127.0.0.1 - - [20/Jan/2021:11:47:56 +0100] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:47:57 +0100] "GET /Condominium/ HTTP/1.1" 500 2581
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /Condominium/ HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 200 62411
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /Condominium/css/style.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /Condominium/js/jquery.min.js HTTP/1.1" 200 97162
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 200 153111
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:55:27 +0100] "GET /docs/5.0/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:56:01 +0100] "GET /Condominium/ HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:56:02 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:56:02 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:58:05 +0100] "GET /Condominium/ HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:58:05 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:58:05 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:11:58:15 +0100] "GET /Condominium/? HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:03:35 +0100] "GET /Condominium/ HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:03:35 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:03:35 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:05:44 +0100] "GET /Condominium/ HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:05:44 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:12:05:44 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 304 -
